City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
220,haapiti,75,PF,1518559200,83,-17.57,-149.87,80.6,23.04
221,pokhara,0,NP,1518560982,73,28.21,83.99,38.78,2.71
222,richards bay,76,ZA,1518560510,89,-28.77,32.06,70.24,3.04
223,lichuan,20,CN,1518561152,75,30.3,108.94,24.2,2.17
224,liverpool,0,GB,1518558600,86,53.41,-2.98,35.6,6.93
225,tomatlan,0,MX,1518560742,36,19.93,-105.25,87.88,4.83
226,shingu,0,JP,1518561153,100,33.72,135.99,42.83,6.2
227,jardim,20,BR,1518561154,79,-21.48,-56.15,77.48,7.2
228,sur,12,OM,1518560665,100,22.57,59.53,69.38,10.76
229,port hawkesbury,20,CA,1518559200,66,45.62,-61.36,10.4,8.05
230,grande-synthe,75,FR,1518560400,69,51.01,2.3,35.6,10.29
231,tigil,36,RU,1518561156,86,57.8,158.67,20.55,11.01
232,okhotsk,68,RU,1518560539,100,59.36,143.24,1.61,7.63
233,batagay,0,RU,1518561156,0,67.65,134.64,-42.14,2.84
234,saint-philippe,1,CA,1518559200,57,45.36,-73.48,24.8,3.36
235,nazarovo,20,RU,1518561157,58,56.01,90.42,-12.53,3.18
236,itoman,20,JP,1518558960,86,26.12,127.67,51.8,6.17
237,ust-karsk,8,RU,1518560683,54,52.71,118.82,-12.34,2.37
238,namibe,8,AO,1518561158,100,-15.19,12.15,76.4,14.03
239,takoradi,12,GH,1518560469,100,4.89,-1.75,79.91,6.85
240,fortuna,0,ES,1518559200,50,38.18,-1.13,51.8,5.82
241,mbumi,92,TZ,1518561159,91,-7.91,39.21,77.3,2.73
242,puerto ayacucho,75,CO,1518559200,46,5.66,-67.63,89.6,10.29
243,san carlos de bariloche,0,AR,1518555600,16,-41.13,-71.31,84.2,17.22
244,aswan,0,EG,1518559200,33,24.09,32.9,62.6,10.29
245,ponta do sol,68,BR,1518560265,72,-20.63,-46.0,78.52,1.25
246,mantua,0,IT,1518558900,85,45.16,10.79,33.8,5.82
247,cockburn town,80,TC,1518560300,96,21.46,-71.14,78.34,24.52
248,port elizabeth,90,US,1518558960,59,39.31,-74.98,35.6,8.05
249,mount gambier,32,AU,1518560300,86,-37.83,140.78,57.37,11.32
250,miram shah,44,PK,1518561162,85,33.01,70.07,35.04,2.84
251,vilhena,40,BR,1518559200,83,-12.74,-60.15,77.0,3.36
252,vila velha,75,BR,1518559200,78,-3.71,-38.6,80.6,3.36
253,lagoa,0,PT,1518559200,76,37.14,-8.45,48.2,6.93
254,litovko,0,RU,1518561163,56,49.24,135.18,-1.05,6.87
255,seoul,90,KR,1518558900,64,37.57,126.98,35.6,6.93
256,fukue,20,JP,1518559200,64,35.03,136.69,37.4,17.22
257,mogok,24,MM,1518561164,86,22.92,96.51,53.85,1.72
258,pevek,32,RU,1518560487,100,69.7,170.27,-1.27,2.59
259,svetlogorsk,75,RU,1518557400,91,53.14,59.15,3.2,6.71
260,faanui,100,PF,1518560383,100,-16.48,-151.75,79.73,31.45
261,mandalgovi,0,MN,1518561165,24,45.76,106.27,-19.41,1.16
262,ilulissat,40,GL,1518558600,52,69.22,-51.1,-9.41,9.17
263,sorland,75,NO,1518555000,64,67.67,12.69,35.6,10.29
264,petropavlovsk-kamchatskiy,68,RU,1518557400,49,53.05,158.65,23.0,6.71
265,buraydah,40,SA,1518555600,49,26.33,43.97,69.8,21.92
266,tiksi,44,RU,1518560077,72,71.64,128.87,-10.77,3.38
267,victor harbor,40,AU,1518557400,64,-35.55,138.62,68.0,19.46
268,leonidovo,0,RU,1518561169,78,49.28,142.87,-4.65,3.62
269,pangkalanbuun,32,ID,1518561169,81,-2.68,111.62,76.67,5.53
270,luderitz,0,NA,1518555600,73,-26.65,15.16,69.8,2.24
271,prince rupert,90,CA,1518559380,86,54.32,-130.32,41.0,12.75
272,usvyaty,80,RU,1518561170,91,55.75,30.75,15.38,9.66
273,rio verde de mato grosso,100,BR,1518561171,81,-18.92,-54.84,76.62,7.76
274,skibbereen,75,IE,1518559200,80,51.55,-9.27,39.2,12.75
275,belmonte,92,PT,1518560379,94,40.36,-7.35,43.91,6.4
276,san quintin,20,PH,1518559200,94,17.54,120.52,68.0,4.7
277,mecca,0,SA,1518555600,69,21.43,39.83,78.8,2.24
278,georgetown,75,GY,1518555600,78,6.8,-58.16,78.8,9.17
